area_code,area_name,indicator,period,measure,unit,value,group
E08000001,Bolton,Vehicles,2018,Frequency,Vehicles,58132.00000000001,Diesel vehicles
E08000002,Bury,Vehicles,2018,Frequency,Vehicles,47092,Diesel vehicles
E08000003,Manchester,Vehicles,2018,Frequency,Vehicles,72320,Diesel vehicles
E08000004,Oldham,Vehicles,2018,Frequency,Vehicles,42842,Diesel vehicles
E08000005,Rochdale,Vehicles,2018,Frequency,Vehicles,43775,Diesel vehicles
E08000006,Salford,Vehicles,2018,Frequency,Vehicles,42540,Diesel vehicles
E08000007,Stockport,Vehicles,2018,Frequency,Vehicles,61312,Diesel vehicles
E08000008,Tameside,Vehicles,2018,Frequency,Vehicles,44762,Diesel vehicles
E08000009,Trafford,Vehicles,2018,Frequency,Vehicles,49009,Diesel vehicles
E08000010,Wigan,Vehicles,2018,Frequency,Vehicles,73871.00000000001,Diesel vehicles
E08000001,Bolton,Vehicles,2017,Frequency,Vehicles,56554,Diesel vehicles
E08000002,Bury,Vehicles,2017,Frequency,Vehicles,47655,Diesel vehicles
E08000003,Manchester,Vehicles,2017,Frequency,Vehicles,69454,Diesel vehicles
E08000004,Oldham,Vehicles,2017,Frequency,Vehicles,41213,Diesel vehicles
E08000005,Rochdale,Vehicles,2017,Frequency,Vehicles,42317,Diesel vehicles
E08000006,Salford,Vehicles,2017,Frequency,Vehicles,41418,Diesel vehicles
E08000007,Stockport,Vehicles,2017,Frequency,Vehicles,60826,Diesel vehicles
E08000008,Tameside,Vehicles,2017,Frequency,Vehicles,43324,Diesel vehicles
E08000009,Trafford,Vehicles,2017,Frequency,Vehicles,48248.99999999999,Diesel vehicles
E08000010,Wigan,Vehicles,2017,Frequency,Vehicles,71383.00000000001,Diesel vehicles
E08000001,Bolton,Vehicles,2016,Frequency,Vehicles,54562.00000000001,Diesel vehicles
E08000002,Bury,Vehicles,2016,Frequency,Vehicles,43444,Diesel vehicles
E08000003,Manchester,Vehicles,2016,Frequency,Vehicles,66732,Diesel vehicles
E08000004,Oldham,Vehicles,2016,Frequency,Vehicles,39506,Diesel vehicles
E08000005,Rochdale,Vehicles,2016,Frequency,Vehicles,40748.99999999999,Diesel vehicles
E08000006,Salford,Vehicles,2016,Frequency,Vehicles,39492.00000000001,Diesel vehicles
E08000007,Stockport,Vehicles,2016,Frequency,Vehicles,59324,Diesel vehicles
E08000008,Tameside,Vehicles,2016,Frequency,Vehicles,41748,Diesel vehicles
E08000009,Trafford,Vehicles,2016,Frequency,Vehicles,47133,Diesel vehicles
E08000010,Wigan,Vehicles,2016,Frequency,Vehicles,68704.00000000001,Diesel vehicles
E08000001,Bolton,Vehicles,2015,Frequency,Vehicles,51753,Diesel vehicles
E08000002,Bury,Vehicles,2015,Frequency,Vehicles,39693,Diesel vehicles
E08000003,Manchester,Vehicles,2015,Frequency,Vehicles,61509,Diesel vehicles
E08000004,Oldham,Vehicles,2015,Frequency,Vehicles,37425,Diesel vehicles
E08000005,Rochdale,Vehicles,2015,Frequency,Vehicles,38220,Diesel vehicles
E08000006,Salford,Vehicles,2015,Frequency,Vehicles,36879,Diesel vehicles
E08000007,Stockport,Vehicles,2015,Frequency,Vehicles,56936,Diesel vehicles
E08000008,Tameside,Vehicles,2015,Frequency,Vehicles,39528,Diesel vehicles
E08000009,Trafford,Vehicles,2015,Frequency,Vehicles,69438,Diesel vehicles
E08000010,Wigan,Vehicles,2015,Frequency,Vehicles,64884,Diesel vehicles
E08000001,Bolton,Vehicles,2014,Frequency,Vehicles,48574,Diesel vehicles
E08000002,Bury,Vehicles,2014,Frequency,Vehicles,37122,Diesel vehicles
E08000003,Manchester,Vehicles,2014,Frequency,Vehicles,55178,Diesel vehicles
E08000004,Oldham,Vehicles,2014,Frequency,Vehicles,35261,Diesel vehicles
E08000005,Rochdale,Vehicles,2014,Frequency,Vehicles,35825,Diesel vehicles
E08000006,Salford,Vehicles,2014,Frequency,Vehicles,34059,Diesel vehicles
E08000007,Stockport,Vehicles,2014,Frequency,Vehicles,54147.99999999999,Diesel vehicles
E08000008,Tameside,Vehicles,2014,Frequency,Vehicles,36954,Diesel vehicles
E08000009,Trafford,Vehicles,2014,Frequency,Vehicles,66218,Diesel vehicles
E08000010,Wigan,Vehicles,2014,Frequency,Vehicles,60929.99999999999,Diesel vehicles
E08000001,Bolton,Vehicles,2013,Frequency,Vehicles,45681,Diesel vehicles
E08000002,Bury,Vehicles,2013,Frequency,Vehicles,34183,Diesel vehicles
E08000003,Manchester,Vehicles,2013,Frequency,Vehicles,50832,Diesel vehicles
E08000004,Oldham,Vehicles,2013,Frequency,Vehicles,33062,Diesel vehicles
E08000005,Rochdale,Vehicles,2013,Frequency,Vehicles,33966,Diesel vehicles
E08000006,Salford,Vehicles,2013,Frequency,Vehicles,31573,Diesel vehicles
E08000007,Stockport,Vehicles,2013,Frequency,Vehicles,50829,Diesel vehicles
E08000008,Tameside,Vehicles,2013,Frequency,Vehicles,34647,Diesel vehicles
E08000009,Trafford,Vehicles,2013,Frequency,Vehicles,63635.99999999999,Diesel vehicles
E08000010,Wigan,Vehicles,2013,Frequency,Vehicles,57189,Diesel vehicles
E08000001,Bolton,Vehicles,2012,Frequency,Vehicles,43297,Diesel vehicles
E08000002,Bury,Vehicles,2012,Frequency,Vehicles,32080.999999999996,Diesel vehicles
E08000003,Manchester,Vehicles,2012,Frequency,Vehicles,47542,Diesel vehicles
E08000004,Oldham,Vehicles,2012,Frequency,Vehicles,31397,Diesel vehicles
E08000005,Rochdale,Vehicles,2012,Frequency,Vehicles,32159,Diesel vehicles
E08000006,Salford,Vehicles,2012,Frequency,Vehicles,30268,Diesel vehicles
E08000007,Stockport,Vehicles,2012,Frequency,Vehicles,47625,Diesel vehicles
E08000008,Tameside,Vehicles,2012,Frequency,Vehicles,33039,Diesel vehicles
E08000009,Trafford,Vehicles,2012,Frequency,Vehicles,58956.99999999999,Diesel vehicles
E08000010,Wigan,Vehicles,2012,Frequency,Vehicles,53030,Diesel vehicles
E08000001,Bolton,Vehicles,2011,Frequency,Vehicles,41007,Diesel vehicles
E08000002,Bury,Vehicles,2011,Frequency,Vehicles,30336,Diesel vehicles
E08000003,Manchester,Vehicles,2011,Frequency,Vehicles,45482,Diesel vehicles
E08000004,Oldham,Vehicles,2011,Frequency,Vehicles,30124.000000000004,Diesel vehicles
E08000005,Rochdale,Vehicles,2011,Frequency,Vehicles,30709,Diesel vehicles
E08000006,Salford,Vehicles,2011,Frequency,Vehicles,28880.000000000004,Diesel vehicles
E08000007,Stockport,Vehicles,2011,Frequency,Vehicles,45605.00000000001,Diesel vehicles
E08000008,Tameside,Vehicles,2011,Frequency,Vehicles,31674,Diesel vehicles
E08000009,Trafford,Vehicles,2011,Frequency,Vehicles,57028,Diesel vehicles
E08000010,Wigan,Vehicles,2011,Frequency,Vehicles,50391.99999999999,Diesel vehicles
E08000001,Bolton,Vehicles,2010,Frequency,Vehicles,46461,Diesel vehicles
