area_code,area_name,period,indicator,measure,unit,value
E08000009,Trafford,2010-11,"Reuse, recycling or composting of household waste",Percentage,Waste,0.408
E47000001,Greater Manchester,2010-11,"Reuse, recycling or composting of household waste",Percentage,Waste,0.34
E92000001,England,2010-11,"Reuse, recycling or composting of household waste",Percentage,Waste,0.415
E08000009,Trafford,2011-12,"Reuse, recycling or composting of household waste",Percentage,Waste,0.492
E47000001,Greater Manchester,2011-12,"Reuse, recycling or composting of household waste",Percentage,Waste,0.409
E92000001,England,2011-12,"Reuse, recycling or composting of household waste",Percentage,Waste,0.43
E08000009,Trafford,2012-13,"Reuse, recycling or composting of household waste",Percentage,Waste,0.479
E47000001,Greater Manchester,2012-13,"Reuse, recycling or composting of household waste",Percentage,Waste,0.422
E92000001,England,2012-13,"Reuse, recycling or composting of household waste",Percentage,Waste,0.432
E08000009,Trafford,2013-14,"Reuse, recycling or composting of household waste",Percentage,Waste,0.575
E47000001,Greater Manchester,2013-14,"Reuse, recycling or composting of household waste",Percentage,Waste,0.445
E92000001,England,2013-14,"Reuse, recycling or composting of household waste",Percentage,Waste,0.435
E08000009,Trafford,2014-15,"Reuse, recycling or composting of household waste",Percentage,Waste,0.619
E47000001,Greater Manchester,2014-15,"Reuse, recycling or composting of household waste",Percentage,Waste,0.45
E92000001,England,2014-15,"Reuse, recycling or composting of household waste",Percentage,Waste,0.437
E08000009,Trafford,2015-16,"Reuse, recycling or composting of household waste",Percentage,Waste,0.604
E47000001,Greater Manchester,2015-16,"Reuse, recycling or composting of household waste",Percentage,Waste,0.442
E92000001,England,2015-16,"Reuse, recycling or composting of household waste",Percentage,Waste,0.43
E08000009,Trafford,2016-17,"Reuse, recycling or composting of household waste",Percentage,Waste,0.613
E47000001,Greater Manchester,2016-17,"Reuse, recycling or composting of household waste",Percentage,Waste,0.467
E92000001,England,2016-17,"Reuse, recycling or composting of household waste",Percentage,Waste,0.437
E08000009,Trafford,2017-18,"Reuse, recycling or composting of household waste",Percentage,Waste,0.5852981441035556
E47000001,Greater Manchester,2017-18,"Reuse, recycling or composting of household waste",Percentage,Waste,0.47093609831789474
E92000001,England,2017-18,"Reuse, recycling or composting of household waste",Percentage,Waste,0.4320950611543677
